TID,VARIANT,JOIN_TIMESTAMP_DAY,MINUTES_IN_APP,SESSIONS,SEARCH_REVENUE,PROGRAMMATIC_REVENUE
3b436ded1d330cb0,1,2017-05-24 00:00:00+00:00,946.8361333,120,0.00288,0.058227
fe6b6d92dc7e9330,0,2017-05-24 00:00:00+00:00,3.97165,1,0,0.000060
7f81979b5615ed95,2,2017-05-24 00:00:00+00:00,1900.850717,129,0.00048,0.055296
ba5079d13d24197d,2,2017-05-24 00:00:00+00:00,40.25756667,4,0,0.001092
ece7c42f133e070f,2,2017-05-24 00:00:00+00:00,2.246633333,1,0,0.000030
6c22616dcb176ea1,1,2017-05-24 00:00:00+00:00,5.99315,3,0,0.000226
53dd993b9633f3ef,1,2017-05-24 00:00:00+00:00,21.68026667,1,0,0.000465
238ad2f4ebde72d4,0,2017-05-24 00:00:00+00:00,79.27473333,5,0.0024,0.000518
c3b233c5f73f349a,1,2017-05-24 00:00:00+00:00,6.0456,2,0,0.000120
ca9e613a6e93d4d7,2,2017-05-24 00:00:00+00:00,4.764583333,1,0.00048,0.000090
d0e9e3f959de0415,1,2017-05-24 00:00:00+00:00,37.93153333,14,0,0.000630
6062b39bc46a3555,0,2017-05-24 00:00:00+00:00,123.3862667,17,0.0072,0.001623
ce5246861aeec370,0,2017-05-24 00:00:00+00:00,1387.41435,154,0.04464,0.047383
8cb2d2208e9f13fe,0,2017-05-24 00:00:00+00:00,7.196133333,2,0,0.000062
39c1b27a2678d25e,1,2017-05-24 00:00:00+00:00,1132.32725,97,0.00048,0.069646
47aba41a7270e17b,0,2017-05-24 00:00:00+00:00,222.3488167,27,0.00384,0.001154
c12cb02a24aa4a0d,0,2017-05-24 00:00:00+00:00,134.92775,14,0.00528,0.001644
36bcd0150e8e7483,2,2017-05-24 00:00:00+00:00,225.1819833,21,0.00096,0.001576
42a37517955e698e,0,2017-05-24 00:00:00+00:00,35.4018,3,0,0.000468
18855c3cb79c19ba,1,2017-05-24 00:00:00+00:00,6.85235,1,0.00048,0.000090
9fa6c040a40eeff2,1,2017-05-24 00:00:00+00:00,8.718116667,3,0.00096,0.012747
c01ffae6e791a171,2,2017-05-24 00:00:00+00:00,63.95923333,5,0.00192,0.015814
5647280e959a72a6,1,2017-05-24 00:00:00+00:00,25.32741667,5,0,0.009925
614843bf183d210f,0,2017-05-24 00:00:00+00:00,8.677133333,2,0,0.000390
9d91de610ce60ed7,2,2017-05-24 00:00:00+00:00,9.49075,1,0,0.000525
342888783c4ce45b,1,2017-05-24 00:00:00+00:00,302.0920833,24,0,0.040546
1dd48dd8494340a5,0,2017-05-24 00:00:00+00:00,30.18755,2,0,0.000771
d4a908dfb46a1b3,1,2017-05-24 00:00:00+00:00,8.408933333,1,0,0.002304
11407fcc4934b189,2,2017-05-24 00:00:00+00:00,268.3046333,39,0.00048,0.001581
80ce426b89359591,0,2017-05-24 00:00:00+00:00,119.7277667,17,0,0.007747
a27ba0ea831502e6,1,2017-05-24 00:00:00+00:00,65.15063333,3,0,0.014992
5c0fb3cd5f66edf2,0,2017-05-24 00:00:00+00:00,11.68985,2,0.00288,0.000360
34e090e04024274a,1,2017-05-24 00:00:00+00:00,1125.364017,148,0,0.131837
d70104f1212b99fb,0,2017-05-24 00:00:00+00:00,31.69543333,3,0.00096,0.000192
a06adefcfac75e4d,2,2017-05-24 00:00:00+00:00,70.28563333,9,0.00192,0.007046
ed165c563a865729,2,2017-05-24 00:00:00+00:00,24.15891667,1,0,0.013734
68035412bc1afef2,1,2017-05-24 00:00:00+00:00,325.3441833,19,0,0.001295
7e1f8c43a5dfcc66,1,2017-05-24 00:00:00+00:00,9.253233333,6,0,0.000060
a183c50f9cb93791,0,2017-05-24 00:00:00+00:00,13.3837,1,0.00432,0.000435
deeb7c4377144ffd,2,2017-05-24 00:00:00+00:00,10.634,1,0.00048,0.000060
82c5f22decec0731,2,2017-05-24 00:00:00+00:00,815.9720167,82,0.00048,0.161179
